ID,Traditional,Simplified,Level,Pinyin,POS,Meaning,Compounds,Examples,WFreq,SFreq,MOE
123,太,太,1,tài,Adv,"too, extremely",太多，太久，太大，太小，太好了，太累。,這件衣服太貴了。今天的功課太多了。太好了！今天沒下雨。,718,891,10088
124,太太,太太,1,tàitai,N,"wife / Mrs., madame",我太太，人＋的太太，王太太。,這位是我太太。 / 王太太，你好。,276,131,10100
125,台灣,台湾,1,Táiwān,,,,,522,1445,
125,臺灣,台湾,1,Táiwān,,,,,522,1445,10079
126,臺灣人,台湾人,1,táiwānrén,N,Taiwanese,,我是臺（台）灣人，你呢？,5,11,
126,台灣人,台湾人,1,táiwānrén,N,Taiwanese,,我是臺（台）灣人，你呢？,5,11,
127,天,天,1,tiān,M,day(s),每天，兩天。,我每天六點起床。我每個星期上三天的課。,1520,1616,11072
128,聽,听,1,tīng,V,"to listen to, to hear",,你說得太快，我聽不懂。你們不要說話，聽老師說。你聽，誰在外面說話？,615,409,11309 11394
129,同學,同学,1,tóngxué,N,classmate,,我們兩個是同學。,106,267,11998
130,外,外,1,wài,N,outside of,外面，門外。,他站在門外。我到教室外等你。,388,298,43186
131,晚安,晚安,1,wǎn'ān,Ph,good night,,我在睡覺前會跟爸爸媽媽說晚安。,7,6,43752
132,晚上,晚上,1,wǎnshàng,N,at night,今天晚上，晚上十點。,今天晚上要不要一起去吃飯？,189,188,43749
133,位,位,1,wèi,M,classifier for people,一位老師，這位同學，這位先生，那位小姐。,請問教室裡有幾位同學？,1145,1031,43547
134,問,问,1,wèn,V,to ask (about),問問題。,他問我教室在哪裡？,694,451,43974
135,問題,问题,1,wèntí,N,question / problem,一個問題，那些問題，問問題，有問題。,他問我一些問題。 / 這個電腦有問題。,1138,1105,43978
136,我,我,1,wǒ,N,"I, me",我的。,我喜歡喝茶。我是醫生。他給我一本書。,13149,16244,43141
137,我們,我们,1,wǒmen,N,"we, us",我們這裡，我們的，我們學校。,我們這裡有三十個人。老師教我們寫中文字。,4150,12537,43143
138,五,五,1,wǔ,N,five,五個，五張，五年。,餐廳裡只有五個人。,444,360,42899
139,想,想,1,xiǎng,V/Vaux/Vs,to think / want to / to miss,想吃，想（V）……，想家。,你在想什麼？ / 他們明天想去山上走走。你想去看電影嗎？ / 我來台灣六個月了，現在很想家。,1876,2025,28021
140,先生,先生,1,xiānshēng,N,Mister (Mr.) (honorific) / husband,張先生，兩位先生，我先生，人＋的先生。,王先生，您好。 / 我跟我先生都是老師。,862,274,27312
141,現在,现在,1,xiànzài,N,now,,我現在沒時間，等一下再說。現在是下午三點。從昨天晚上到現在都在下雨。,884,2365,27495
142,小,小,1,xiǎo,Vs,"small, little,young",衣服太小，小杯，小碗，比……小。,這件衣服太小了，我穿不下。我早上喝了一小杯牛奶。我妹妹比我小四歲。,1281,1334,26956
143,小孩,小孩,1,xiǎohái,N,"kids, child, childern / son, daughter",兩個小孩，這個小孩，有……個小孩。,有很多小孩在公園玩。 / 我有兩個小孩。,240,547,
143,小孩子,小孩子,1,xiǎoháizi,N,"kids, child, childern / son, daughter",兩個小孩，這個小孩，有……個小孩。,有很多小孩在公園玩。 / 我有兩個小孩。,240,547,
144,小姐,小姐,1,xiǎojiě,N,"Miss, lady / young lady",姓＋小姐，一位小姐。,王小姐，早。小姐，您請坐。 / 王先生，外面有一位小姐找你。,273,50,27009
145,小時,小时,1,xiǎoshí,N,hour,三個小時，幾小時，半小時。,一天有二十四個小時。,227,228,27037
146,下午,下午,1,xiàwǔ,N,afternoon,今天下午，星期六下午，下午四點。,他今天下午都在寫功課。,83,64,26665
147,寫,写,1,xiě,V,to write,寫中文字，寫功課。,老師教我們寫自己的中文名字。他的中文字寫得很漂亮。,473,410,26810
148,謝謝,谢谢,1,xièxie,Ph,"thanks, Thank you.",謝謝您，謝謝你。,Ａ：「謝謝您！」 Ｂ：「不客氣！」謝謝你告訴我這件事。,63,593,
149,喜歡,喜欢,1,xǐhuān,Vs,"to like, to love",,我喜歡那個老師。我喜歡跳舞。我不喜歡吃肉。,494,577,26428
150,新,新,1,xīn,Vs,new,新同學。,我買了新電腦。他是今年來的新同學。,822,686,27725
151,姓名,姓名,1,xìngmíng,N,"name, surname and given name",,請告訴我你的姓名。,22,3,28325
152,星期天,星期天,1,Xīngqítiān,N,Sunday,下（個）星期天，星期天下午。,他每個星期天都去公園走走。我這個星期天要去看電影。,17,10,
152,星期日,星期日,1,Xīngqírì,N,Sunday,下（個）星期天，星期天下午。,他每個星期天都去公園走走。我這個星期天要去看電影。,17,10,
153,星期一,星期一,1,Xīngqíyī,N,Monday,星期一早上，上（個）星期一。,我很忙，從星期一到星期五都有課。,10,8,
154,學,学,1,xué,V,"to study, to learn",學中文，學開車。,我來台灣學中文。他想學做法國菜。,206,359,28476
155,學生,学生,1,xuéshēng,N,student,一個學生。,我們學校有很多外國學生。,418,303,28513
156,學校,学校,1,xuéxiào,N,school,一所學校。,我星期一會去學校上課。,303,497,28506
157,要,要,1,yào,Vaux/V,"must, should / want to / will / to want / to cost, to need",要兩小時，要三百元。,生病了要去看醫生。 / 我要買一杯咖啡。 / 我明天要去台中。 / 我要一杯水。我要一碗飯。 / 一杯咖啡和一個麵包，一共要九十元。從台中到台南坐火車要兩個小時。,3541,7742,41020 41117
158,也,也,1,yě,Adv,also,,他是學生，我也是學生。,6312,7341,40885
159,一,一,1,yī,N,one,一個，一位，一張，一年，一天。,他吃了一個包子。,15058,16040,39958
160,一起,一起,1,yīqǐ,Adv,together,,下課以後，我們一起去吃飯。,337,718,40120
161,一月,一月,1,Yīyuè,N,January,一月一日，一月底，明年一月。,每年一月我都會回家。,40,13,
162,醫生,医生,1,yīshēng,N,doctor,一位醫生，看醫生。,他是一位醫生。我不舒服，要去看醫生。,360,372,40311
162,醫師,医师,1,yīshī,N,doctor,一位醫生，看醫生。,他是一位醫生。我不舒服，要去看醫生。,360,372,40310
163,英文,英文,1,Yīngwén,N,English,說英文，學英文，英文名字，英文老師。,我會說英文，也會說中文。,59,65,42403
164,用,用,1,yòng,V/Prep,to use / with,,他不會用電腦。 / 我用筷子吃飯。他用電腦工作。,1521,2223,45091
165,有,有,1,yǒu,Vs,"have / there is, there are",桌子上有……，教室裡有……，這裡有……。,我有很多台灣朋友。我沒有錢買新的手機。 / 桌上有一杯牛奶。學校附近有很多餐廳。,8990,12724,41411 41548
166,元,元,1,yuán,M,the monetary unit,十元。,這個包子二十元。,220,122,44701
167,月,月,1,yuè,M,month,四個月，每（個）月，這個月，上個月。,我來台灣四個月了。,463,737,44584
168,再見,再见,1,zàijiàn,V,"good-bye, farewell",,再見！明天見！,19,27,37061
169,早,早,1,zǎo,Ph/Vs,Good morning / early,大家早。,老師早。王先生早。 / 我今天起得很早。,248,240,37127
170,早安,早安,1,zǎo'ān,Ph,good morning,,每天早上我都跟同學說早安。王小姐，早安。,6,4,37151
171,早上,早上,1,zǎoshàng,N,morning,明天早上，星期一早上，早上八點。,明天早上我要六點起床。,103,130,37147
172,怎麼,怎么,1,zěnme,Adv,how / why,怎麼做，怎麼說，怎麼去，怎麼（會）V。,請問從這裡到台北101怎麼走？這個字怎麼唸？ / 昨天你怎麼沒來上課？,570,1269,37285
173,找,找,1,zhǎo,V,"to seek, to look for / to find (a job, a house, etc.) / to meet, to visit",找（東西），找（人），找工作，找房子，找朋友。,我的手機不見了，請你幫我找一找。 / 他想在台灣找工作。 / 我要去台南找朋友。,489,477,29661
174,這,这,1,zhè,N,here,在這裡，從這裡，到這裡，來這裡。,這裡是我的學校。我在這兒等他，等了三十分鐘。,8975,15872,29544
174,這裡,这里,1,zhèlǐ,N,here,在這裡，從這裡，到這裡，來這裡。,這裡是我的學校。我在這兒等他，等了三十分鐘。,8975,15872,29547
